QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,,,,,234415_x_at,,,,,228390_at,,200916_at,203382_s_at,205328_at,,214851_at,
,,,,,,,,,,229656_s_at,,200919_at,203414_at,242414_at,,214910_s_at,
,,,,,,,,,,235661_at,,200955_at,203438_at,1566178_x_at,,215100_at,
,,,,,,,,,,236198_at,,200982_s_at,203439_s_at,204519_s_at,,215300_s_at,
,,,,,,,,,,238712_at,,201005_at,203498_at,219564_at,,215432_at,
,,,,,,,,,,239278_at,,201012_at,203559_s_at,240440_at,,215665_at,
,,,,,,,,,,239287_at,,201020_at,203666_at,219195_at,,216185_at,
,,,,,,,,,,239292_at,,201037_at,203854_at,1561263_at,,216594_x_at,
,,,,,,,,,,241893_at,,201040_at,203882_at,206000_at,,216889_s_at,
,,,,,,,,,,243780_at,,201042_at,204018_x_at,210119_at,,217111_at,
,,,,,,,,,,244313_at,,201049_s_at,204036_at,203913_s_at,,217113_at,
,,,,,,,,,,,,201090_x_at,204037_at,215363_x_at,,217127_at,
,,,,,,,,,,,,201095_at,204038_s_at,207502_at,,217583_at,
,,,,,,,,,,,,201105_at,204122_at,244149_at,,217626_at,
,,,,,,,,,,,,201116_s_at,204150_at,206239_s_at,,218701_at,
,,,,,,,,,,,,201117_s_at,204259_at,220989_s_at,,219464_at,
,,,,,,,,,,,,201118_at,204385_at,202712_s_at,,219525_at,
,,,,,,,,,,,,201136_at,204444_at,202554_s_at,,219543_at,
,,,,,,,,,,,,201160_s_at,204466_s_at,230965_at,,219902_at,
,,,,,,,,,,,,201161_s_at,204467_s_at,237026_at,,220029_at,
,,,,,,,,,,,,201169_s_at,204641_at,229158_at,,220061_at,
,,,,,,,,,,,,201170_s_at,204658_at,204290_s_at,,220148_at,
,,,,,,,,,,,,201195_s_at,204826_at,204077_x_at,,220357_s_at,
,,,,,,,,,,,,201201_at,204827_s_at,244670_at,,220376_at,
,,,,,,,,,,,,201202_at,204879_at,213938_at,,220816_at,
,,,,,,,,,,,,201271_s_at,204896_s_at,210377_at,,221142_s_at,
,,,,,,,,,,,,201289_at,204897_at,213917_at,,221302_at,
,,,,,,,,,,,,201294_s_at,204943_at,214082_at,,222100_at,
,,,,,,,,,,,,201295_s_at,204963_at,215001_s_at,,222714_s_at,
,,,,,,,,,,,,201296_s_at,204964_s_at,238567_at,,223437_at,
,,,,,,,,,,,,201309_x_at,205166_at,243341_at,,223438_s_at,
,,,,,,,,,,,,201310_s_at,205168_at,214154_s_at,,223593_at,
,,,,,,,,,,,,201397_at,205382_s_at,241564_at,,223619_x_at,
,,,,,,,,,,,,201426_s_at,205499_at,204836_at,,223699_at,
,,,,,,,,,,,,201428_at,205898_at,202972_s_at,,223939_at,
,,,,,,,,,,,,201430_s_at,206331_at,203216_s_at,,224061_at,
,,,,,,,,,,,,201431_s_at,206500_s_at,204997_at,,224179_s_at,
,,,,,,,,,,,,201464_x_at,206566_at,203657_s_at,,226228_at,
,,,,,,,,,,,,201465_s_at,206580_s_at,1555997_s_at,,226597_at,
,,,,,,,,,,,,201466_s_at,206628_at,1556285_s_at,,226649_at,
,,,,,,,,,,,,201470_at,206834_at,202447_at,,226978_at,
,,,,,,,,,,,,201502_s_at,206837_at,213017_at,,227094_at,
,,,,,,,,,,,,201510_at,206978_at,240135_x_at,,227113_at,
,,,,,,,,,,,,201584_s_at,207111_at,202036_s_at,,227480_at,
,,,,,,,,,,,,201590_x_at,207158_at,221747_at,,227522_at,
,,,,,,,,,,,,201596_x_at,207165_at,241914_s_at,,227690_at,
,,,,,,,,,,,,201631_s_at,207172_s_at,230914_at,,227830_at,
,,,,,,,,,,,,201667_at,207173_x_at,206878_at,,228268_at,
